2021-07-19 17:14:05,445 [main.py         | 49] INFO: Start to run instance_50
2021-07-19 17:14:05,445 [simulate_api.py | 60] INFO: Start time of the simulator: 2021-07-19 00:00:00, time interval:  600.00
2021-07-19 17:14:05,461 [input_utils.py  | 48] INFO: Get 154 factories
2021-07-19 17:14:08,027 [input_utils.py  | 52] INFO: Get 23562 routes
2021-07-19 17:14:08,055 [input_utils.py  | 57] INFO: Get 100 vehicles
2021-07-19 17:14:08,671 [input_utils.py  | 61] INFO: Get 3000 orders
2021-07-19 17:14:08,671 [simulate_api.py | 87] INFO: Initial position of V_1 is e2d5093fbe36431f8986ddb0e1c586be
2021-07-19 17:14:08,671 [simulate_api.py | 87] INFO: Initial position of V_2 is 7fe14b93f0f04ee7a994ef5b2c1fdb72
2021-07-19 17:14:08,671 [simulate_api.py | 87] INFO: Initial position of V_3 is fa366fc87a124d32926daa5bb093129f
2021-07-19 17:14:08,671 [simulate_api.py | 87] INFO: Initial position of V_4 is e47399648fa842b2b8f80094343d8091
2021-07-19 17:14:08,671 [simulate_api.py | 87] INFO: Initial position of V_5 is becb4f85393540b287e7329758b8d832
2021-07-19 17:14:08,672 [simulate_api.py | 87] INFO: Initial position of V_6 is 7fb0acc4e2634440ba26a7ebc0040dc2
2021-07-19 17:14:08,672 [simulate_api.py | 87] INFO: Initial position of V_7 is 6380b13f12984a08a4994fb4c126215b
2021-07-19 17:14:08,672 [simulate_api.py | 87] INFO: Initial position of V_8 is 449b516ba21b4270ac1ea1b13a89514c
2021-07-19 17:14:08,672 [simulate_api.py | 87] INFO: Initial position of V_9 is c174cfe9fcbf4f1b82095941a49f7bd9
2021-07-19 17:14:08,672 [simulate_api.py | 87] INFO: Initial position of V_10 is c0979c05f2c44e6fa7c5e42ae9aa977e
2021-07-19 17:14:08,672 [simulate_api.py | 87] INFO: Initial position of V_11 is 4a85fbdd319140dd83f55766289d365f
2021-07-19 17:14:08,672 [simulate_api.py | 87] INFO: Initial position of V_12 is 61a68b6b728b4413ba6a0f695091579c
2021-07-19 17:14:08,672 [simulate_api.py | 87] INFO: Initial position of V_13 is 76d691d6054f42d48f27e16806928020
2021-07-19 17:14:08,672 [simulate_api.py | 87] INFO: Initial position of V_14 is 433544a316b84100a11a703f1b99494a
2021-07-19 17:14:08,672 [simulate_api.py | 87] INFO: Initial position of V_15 is 680ee12255ad415ab7838647f138778e
2021-07-19 17:14:08,672 [simulate_api.py | 87] INFO: Initial position of V_16 is 433544a316b84100a11a703f1b99494a
2021-07-19 17:14:08,672 [simulate_api.py | 87] INFO: Initial position of V_17 is 8479328003a8427ca68b7600f0ac7045
